"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","COMMON","SGD","GENENAME"
"42","1776044_at",-2.91376486693748,6.14655640322767,-10.909290627514,4.25818377645142e-05,0.0221587772900291,2.86105720980881,"RCK1","S000003126","RCK1"
"43","1776044_at",-2.91376486693748,6.14655640322767,-10.909290627514,4.25818377645142e-05,0.0221587772900291,2.86105720980881,"putative serine/threonine protein kinase RCK1","S000003126","RCK1"
"4","1769913_s_at",-1.3164561356707,12.1623812062542,-10.7107272968497,4.7185009674236e-05,0.0234380811690932,2.7702240526494,"4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase","S000002403","THI13"
"5","1769913_s_at",-1.3164561356707,12.1623812062542,-10.7107272968497,4.7185009674236e-05,0.0234380811690932,2.7702240526494,"THI13","S000002403","THI13"
"48","1777048_at",2.2752178569291,12.4156294055705,10.6121615180252,4.96838409378092e-05,0.0236063049464512,2.72428210270335,"NADPH dehydrogenase","S000001222","OYE2"
"49","1777048_at",2.2752178569291,12.4156294055705,10.6121615180252,4.96838409378092e-05,0.0236063049464512,2.72428210270335,"OYE2","S000001222","OYE2"
"32","1775331_at",2.2907662682506,11.7950633748376,10.5176330093101,5.22261307879269e-05,0.0237802982187694,2.67967926379072,"NADPH dehydrogenase","S000006092","OYE3"
"33","1775331_at",2.2907662682506,11.7950633748376,10.5176330093101,5.22261307879269e-05,0.0237802982187694,2.67967926379072,"OYE3","S000006092","OYE3"
"34","1775331_at",2.2907662682506,11.7950633748376,10.5176330093101,5.22261307879269e-05,0.0237802982187694,2.67967926379072,"ZRG6","S000006092","OYE3"
"44","1776178_at",1.45045309735788,10.0737201128472,10.1809251111068,6.25973453091638e-05,0.0273625515815417,2.51636393450191,"MRX16","S000002539","MRX16"
"6","1770859_at",1.30308430120045,11.4600416997833,9.79930669149891,7.73788868156217e-05,0.0317244888831909,2.32250367751773,"IMA1","S000003519","IMA1"
"7","1770859_at",1.30308430120045,11.4600416997833,9.79930669149891,7.73788868156217e-05,0.0317244888831909,2.32250367751773,"oligo-1,6-glucosidase IMA1","S000003519","IMA1"
"61","1779979_at",-2.23099547747409,9.56490682698175,-9.77653611268375,7.83822474236964e-05,0.0317244888831909,2.31062997880825,"ZRT1","S000003224","ZRT1"
"62","1779979_at",-2.23099547747409,9.56490682698175,-9.77653611268375,7.83822474236964e-05,0.0317244888831909,2.31062997880825,"high-affinity Zn(2+) transporter ZRT1","S000003224","ZRT1"
"25","1774491_s_at",1.5398335516674,12.405616609499,9.54359114540792,8.95654016507764e-05,0.0349560967585602,2.18710880055212,"MAL32","S000000503","MAL32"
"26","1774491_s_at",1.5398335516674,12.405616609499,9.54359114540792,8.95654016507764e-05,0.0349560967585602,2.18710880055212,"MAL3S","S000000503","MAL32"
"27","1774491_s_at",1.5398335516674,12.405616609499,9.54359114540792,8.95654016507764e-05,0.0349560967585602,2.18710880055212,"MALS","S000000503","MAL32"
"28","1774491_s_at",1.5398335516674,12.405616609499,9.54359114540792,8.95654016507764e-05,0.0349560967585602,2.18710880055212,"alpha-glucosidase MAL32","S000000503","MAL32"
"1","1769803_s_at",2.05888268773535,11.5656704729152,9.42216568819853,9.6125224282902e-05,0.0350159659242532,2.12120811516179,"CUP1","S000001095","CUP1-1"
"2","1769803_s_at",2.05888268773535,11.5656704729152,9.42216568819853,9.6125224282902e-05,0.0350159659242532,2.12120811516179,"CUP1-1","S000001095","CUP1-1"
"3","1769803_s_at",2.05888268773535,11.5656704729152,9.42216568819853,9.6125224282902e-05,0.0350159659242532,2.12120811516179,"metallothionein CUP1-1","S000001095","CUP1-1"
"40","1775734_at",-3.12520998511854,10.5135826646981,-9.37603937050181,9.87622757868128e-05,0.0350159659242532,2.09589620878829,"CTR1","S000006328","CTR1"
"41","1775734_at",-3.12520998511854,10.5135826646981,-9.37603937050181,9.87622757868128e-05,0.0350159659242532,2.09589620878829,"high-affinity Cu transporter CTR1","S000006328","CTR1"
"51","1777587_at",2.77608931807031,5.85804095296841,9.3662699275551,9.93315285186539e-05,0.0350159659242532,2.09051537215171,NA,"S000028725",NA
"54","1778857_at",-1.41467114964379,9.66791633651795,-9.21152345109719,0.000108877048231558,0.0371815119710771,2.0043480058097,"DUR1,2","S000000412","DUR12"
"55","1778857_at",-1.41467114964379,9.66791633651795,-9.21152345109719,0.000108877048231558,0.0371815119710771,2.0043480058097,"DUR12","S000000412","DUR12"
"56","1778857_at",-1.41467114964379,9.66791633651795,-9.21152345109719,0.000108877048231558,0.0371815119710771,2.0043480058097,"DUR80","S000000412","DUR12"
"57","1778857_at",-1.41467114964379,9.66791633651795,-9.21152345109719,0.000108877048231558,0.0371815119710771,2.0043480058097,"bifunctional urea carboxylase/allophanate hydrolase","S000000412","DUR12"
"23","1774122_at",1.63101036166565,13.6989342008098,9.001357655821,0.000123600295805939,0.0409304252293121,1.88444254487659,"FDH1","S000005915","FDH1"
"24","1774122_at",1.63101036166565,13.6989342008098,9.001357655821,0.000123600295805939,0.0409304252293121,1.88444254487659,"formate dehydrogenase (NAD+)","S000005915","FDH1"
"15","1772751_at",2.64651802586445,5.53970044179833,8.6657895486459,0.000152183844742936,0.048913678098553,1.68583841108394,NA,"S000028529",NA
